GEOGRAPHY_CODE,CELL,OBS_VALUE,CELL_NAME
E01011623,0,1517,All usual residents
E01011624,0,1823,All usual residents
E01011625,0,1472,All usual residents
E01011626,0,1782,All usual residents
E01011627,0,1417,All usual residents
E01011628,0,1328,All usual residents
E01011629,0,1302,All usual residents
E01011630,0,2088,All usual residents
E01011632,0,1335,All usual residents
E01011633,0,1472,All usual residents
E01011634,0,1499,All usual residents
E01011635,0,1547,All usual residents
E01011636,0,1625,All usual residents
E01011637,0,1768,All usual residents
E01011638,0,1487,All usual residents
E01011639,0,1523,All usual residents
E01011641,0,1522,All usual residents
E01011642,0,1326,All usual residents
E01011643,0,1392,All usual residents
E01011644,0,1249,All usual residents
E01011645,0,1472,All usual residents
E01011646,0,1666,All usual residents
E01011647,0,1716,All usual residents
E01011648,0,1744,All usual residents
E01011649,0,1466,All usual residents
E01011650,0,1443,All usual residents
E01011651,0,1446,All usual residents
E01011652,0,1331,All usual residents
E01011653,0,1352,All usual residents
E01011654,0,1434,All usual residents
E01011655,0,1396,All usual residents
E01011656,0,1490,All usual residents
E01011657,0,1307,All usual residents
E01011658,0,1344,All usual residents
E01011659,0,1373,All usual residents
E01011660,0,1359,All usual residents
E01011661,0,1598,All usual residents
E01011662,0,1189,All usual residents
E01011663,0,1256,All usual residents
E01011664,0,1110,All usual residents
E01011665,0,1386,All usual residents
E01011666,0,1490,All usual residents
E01011667,0,1491,All usual residents
E01011668,0,1609,All usual residents
E01011669,0,1475,All usual residents
E01011670,0,2634,All usual residents
E01011671,0,1535,All usual residents
E01011673,0,1691,All usual residents
E01011677,0,1526,All usual residents
E01011678,0,4156,All usual residents
E01011681,0,1734,All usual residents
E01011684,0,1548,All usual residents
E01011685,0,2153,All usual residents
E01011686,0,1545,All usual residents
E01011687,0,1488,All usual residents
E01011688,0,1488,All usual residents
E01011689,0,1552,All usual residents
E01011690,0,1356,All usual residents
E01011691,0,1527,All usual residents
E01011692,0,1404,All usual residents
E01011693,0,1521,All usual residents
E01011694,0,1804,All usual residents
E01011695,0,1590,All usual residents
E01011696,0,1498,All usual residents
E01011697,0,2091,All usual residents
E01011698,0,1503,All usual residents
E01011699,0,1345,All usual residents
E01011700,0,1353,All usual residents
E01011701,0,1287,All usual residents
E01011702,0,1184,All usual residents
E01011703,0,1279,All usual residents
E01011704,0,1770,All usual residents
E01011705,0,1378,All usual residents
E01011706,0,1526,All usual residents
E01011707,0,1359,All usual residents
E01011708,0,1468,All usual residents
E01011709,0,1588,All usual residents
E01011710,0,1421,All usual residents
E01011711,0,1389,All usual residents
E01011712,0,1359,All usual residents
E01011713,0,1843,All usual residents
E01011714,0,1474,All usual residents
E01011715,0,1289,All usual residents
E01011716,0,1486,All usual residents
E01011717,0,1495,All usual residents
E01011718,0,1400,All usual residents
E01011719,0,1427,All usual residents
E01011720,0,1498,All usual residents
E01011721,0,1522,All usual residents
E01011722,0,1893,All usual residents
E01011723,0,1417,All usual residents
E01011724,0,1821,All usual residents
E01011725,0,1557,All usual residents
E01011726,0,1449,All usual residents
E01011727,0,1547,All usual residents
E01011728,0,1414,All usual residents
E01011729,0,1614,All usual residents
E01011730,0,1559,All usual residents
E01011731,0,1418,All usual residents
E01011732,0,1861,All usual residents
E01011733,0,1492,All usual residents
E01011734,0,2315,All usual residents
E01011735,0,1659,All usual residents
E01011736,0,1485,All usual residents
E01011737,0,1563,All usual residents
E01011738,0,1435,All usual residents
E01011739,0,1530,All usual residents
E01032487,0,1013,All usual residents
E01032488,0,1846,All usual residents
E01032489,0,1936,All usual residents
E01032490,0,1396,All usual residents
E01032491,0,1230,All usual residents
E01032492,0,1991,All usual residents
E01032493,0,1343,All usual residents
E01032494,0,1745,All usual residents
E01032495,0,2399,All usual residents
E01032496,0,2044,All usual residents
E01032497,0,1496,All usual residents
E01032498,0,1531,All usual residents
E01032499,0,1749,All usual residents
E01032500,0,1144,All usual residents
E01032501,0,1173,All usual residents
E01032502,0,1842,All usual residents
E01032503,0,1465,All usual residents
E01032504,0,1584,All usual residents
E01032606,0,1982,All usual residents
E01032607,0,1101,All usual residents
E01032608,0,1170,All usual residents
E01032876,0,2691,All usual residents
E01032945,0,3163,All usual residents
E01032946,0,2472,All usual residents
E01033002,0,1310,All usual residents
E01033003,0,1783,All usual residents
E01033005,0,3530,All usual residents
E01033006,0,3385,All usual residents
E01033008,0,1120,All usual residents
E01033010,0,2807,All usual residents
E01033011,0,1373,All usual residents
E01033013,0,1189,All usual residents
E01033015,0,1167,All usual residents
E01033016,0,1017,All usual residents
E01033018,0,1137,All usual residents
E01033019,0,1700,All usual residents
E01033021,0,1300,All usual residents
E01033031,0,1289,All usual residents
E01033032,0,1278,All usual residents
E01033033,0,1580,All usual residents
E01033034,0,1025,All usual residents
E01033035,0,1412,All usual residents
E01033689,0,1196,All usual residents
E01033690,0,1138,All usual residents
E01033691,0,1524,All usual residents
E01033692,0,1079,All usual residents
E01033693,0,2417,All usual residents
E01033694,0,1011,All usual residents
E01033695,0,1975,All usual residents
E01033696,0,1533,All usual residents
E01033697,0,2837,All usual residents
